,Id,binding
842,31.b.13_Heavy,others
843,31.b.14_Heavy,others
844,31.c.01_Heavy,others
845,31.c.03_Heavy,others
846,31.c.04_Heavy,others
847,31.c.05_Heavy,others
848,31.c.06_Heavy,others
849,31.c.07_Heavy,others
850,31.g.01_Heavy,others
851,36.d.02_Heavy,others
852,36.g.01_Heavy,others
853,36.g.02_Heavy,others
854,54.a.01_Heavy,others
855,54.a.02_Heavy,others
856,54.a.03_Heavy,others
857,54.a.04_Heavy,others
858,54.a.05_Heavy,others
859,54.a.06_Heavy,others
860,54.a.07_Heavy,others
861,54.a.09_Heavy,others
862,54.a.10_Heavy,others
863,54.a.11_Heavy,others
864,54.a.12_Heavy,others
865,54.a.13_Heavy,others
866,54.a.14_Heavy,others
867,54.a.15_Heavy,others
868,54.a.16_Heavy,others
869,54.a.17_Heavy,others
870,54.a.18_Heavy,others
871,54.a.20_Heavy,others
872,54.a.21_Heavy,others
873,54.a.23_Heavy,others
874,54.a.24_Heavy,others
875,54.a.25_Heavy,others
876,54.a.26_Heavy,others
877,54.a.27_Heavy,others
878,54.a.28_Heavy,others
879,54.a.29_Heavy,others
880,54.a.30_Heavy,others
881,54.a.31_Heavy,others
882,54.a.32_Heavy,others
883,54.a.33_Heavy,others
884,54.a.34_Heavy,others
885,54.a.35_Heavy,others
886,54.a.36_Heavy,others
887,54.a.37_Heavy,others
888,54.a.38_Heavy,others
889,54.a.40_Heavy,others
890,54.a.41_Heavy,others
891,54.a.44_Heavy,others
892,54.a.45_Heavy,others
893,54.a.46_Heavy,others
894,54.a.47_Heavy,others
895,54.a.48_Heavy,others
896,54.a.50_Heavy,others
897,54.a.51_Heavy,others
898,54.a.53_Heavy,others
899,54.a.54_Heavy,others
900,54.a.55_Heavy,others
901,54.a.56_Heavy,others
902,54.a.57_Heavy,others
903,54.a.58_Heavy,others
904,54.a.59_Heavy,others
905,54.a.60_Heavy,others
906,54.a.61_Heavy,others
907,54.a.62_Heavy,others
908,54.a.63_Heavy,others
909,54.a.65_Heavy,others
910,54.a.66_Heavy,others
911,54.a.68_Heavy,others
912,54.a.71_Heavy,others
913,54.a.72_Heavy,others
914,54.a.73_Heavy,others
915,54.a.74_Heavy,others
916,54.a.75_Heavy,others
917,54.a.76_Heavy,others
918,54.a.80_Heavy,others
919,54.a.82_Heavy,others
920,54.a.83_Heavy,others
921,54.a.85_Heavy,others
922,54.a.86_Heavy,others
923,54.a.87_Heavy,others
924,54.a.89_Heavy,others
925,54.b.02_Heavy,others
926,54.c.01_Heavy,others
927,54.c.02_Heavy,others
928,54.d.01_Heavy,others
929,56.a.01_Heavy,others
930,56.a.02_Heavy,others
931,56.a.03_Heavy,others
932,56.a.04_Heavy,others
933,56.a.05_Heavy,others
934,56.a.06_Heavy,others
935,56.a.07_Heavy,others
936,56.a.08_Heavy,others
937,56.a.10_Heavy,others
938,56.a.11_Heavy,others
939,56.a.13_Heavy,others
940,56.a.14_Heavy,others
941,56.a.15_Heavy,others
942,56.a.16_Heavy,others
943,56.a.18_Heavy,others
944,56.a.21_Heavy,others
945,56.a.23_Heavy,others
946,56.a.24_Heavy,others
947,56.a.25_Heavy,others
948,56.b.01_Heavy,others
949,56.b.04_Heavy,others
950,56.b.06_Heavy,others
951,56.b.13_Heavy,others
952,56.b.15_Heavy,others
953,56.b.16_Heavy,others
954,56.d.01_Heavy,others
955,56.e.01_Heavy,others
956,56.f.01_Heavy,others
957,56.g.01_Heavy,others
958,56.j.01_Heavy,others
959,56.k.01_Heavy,others
960,K77-1A02,others
961,K77-1A11,others
962,K77-1B01,others
963,K77-1B02,others
964,K77-1B07,others
965,K77-1B08,others
966,K77-1C01,others
967,K77-1C04,others
968,K77-1C10,others
969,K77-1C11,others
970,K77-1C12,others
971,K77-1D03,others
972,K77-1D04,others
973,K77-1D08,others
974,K77-1D09,others
975,K77-1D10,others
976,K77-1E03,others
977,K77-1E06,others
978,K77-1F01,others
979,K77-1F02,others
980,K77-1F05,others
981,K77-1F06,others
982,K77-1F08,others
983,K77-1F09,others
984,K77-1F11,others
985,K77-1G02,others
986,K77-1G04,others
987,K77-1G05,others
988,K77-1G06,others
989,K77-1G08,others
990,K77-1G11,others
991,K77-1H01,others
992,K77-1H04,others
993,K77-1H09,others
994,K77-2A03,others
995,K77-2A04,others
996,K77-2A05,others
997,K77-2A06,others
998,K77-2A08,others
999,K77-2A09,others
1000,K77-2A10,others
1001,K77-2B03,others
1002,K77-2B07,others
1003,K77-2B11,others
1004,K77-2C09,others
1005,K77-2C10,others
1006,K77-2C12,others
1007,K77-2D01,others
1008,K77-2D02,others
1009,K77-2D05,others
1010,K77-2E03,others
1011,K77-2E05,others
1012,K77-2E07,others
1013,K77-2E08,others
1014,K77-2F01,others
1015,K77-2F02,others
1016,K77-2F03,others
1017,K77-2F06,others
1018,K77-2F08,others
1019,K77-2G04,others
1020,K77-2G05,others
1021,K77-2G07,others
1022,K77-2G11,others
1023,K77-2H01,others
1024,K77-2H03,others
1025,K77-2H08,others
1026,K77-2H10,others
1027,K77-2H11,others
1028,R95-1A03,others
1029,R95-1A04,others
1030,R95-1A10,others
1031,R95-1B02,others
1032,R95-1B07,others
1033,R95-1B12,others
1034,R95-1C02,others
1035,R95-1C09,others
1036,R95-1C10,others
1037,R95-1C11,others
1038,R95-1D02,others
1039,R95-1D04,others
1040,R95-1D06,others
1041,R95-1D11,others
1042,R95-1D12,others
1043,R95-1E01,others
1044,R95-1E02,others
1045,R95-1E04,others
1046,R95-1E08,others
1047,R95-1F01,others
1048,R95-1F02,others
1049,R95-1F03,others
1050,R95-1G06,others
1051,R95-1G07,others
1052,R95-1G09,others
1053,R95-1G10,others
1054,R95-1H02,others
1055,R95-1H04,others
1056,R95-1H06,others
1057,R95-1H10,others
1058,R95-2A02,others
