**********START:02/16/2023 17:39:09**********
{'time': '02/18/2023 10:44:27', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0892027616500854, 'accuracy': 0.4367816150188446, 'precision': 0.0, 'recall': 0.0, 'auc': 0.6034482717514038, 'prc': 0.4075654149055481, 'seed': 0}
{'time': '02/18/2023 11:27:31', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.6105992794036865, 'accuracy': 0.3294117748737335, 'precision': 0.3294117748737335, 'recall': 0.3294117748737335, 'auc': 0.5117647051811218, 'prc': 0.3363781273365021, 'seed': 0}
{'time': '02/16/2023 00:55:56', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.6513227224349976, 'accuracy': 0.3291139304637909, 'precision': 0.3291139304637909, 'recall': 0.3291139304637909, 'auc': 0.5379747152328491, 'prc': 0.3459317088127136, 'seed': 0}
{'time': '02/18/2023 11:33:40', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.8109928369522095, 'accuracy': 0.3294117748737335, 'precision': 0.3294117748737335, 'recall': 0.3294117748737335, 'auc': 0.5176470279693604, 'prc': 0.3384973704814911, 'seed': 0}
{'time': '02/16/2023 17:40:12', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0882567167282104, 'accuracy': 0.4367816150188446, 'precision': 0.0, 'recall': 0.0, 'auc': 0.6034482717514038, 'prc': 0.4075654149055481, 'seed': 1}
{'time': '02/16/2023 17:43:12', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1161291599273682, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5476190447807312, 'prc': 0.3507648706436157, 'seed': 1}
{'time': '02/16/2023 17:46:30', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1651593446731567, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5535714626312256, 'prc': 0.35305917263031006, 'seed': 1}
{'time': '02/16/2023 17:49:20', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.2906172275543213, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5308641791343689, 'prc': 0.3444444239139557, 'seed': 1}
{'time': '02/16/2023 17:53:47', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.3069552183151245, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5178571343421936, 'prc': 0.3396778702735901, 'seed': 1}
{'time': '02/16/2023 17:58:34', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.335098385810852, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.53125, 'prc': 0.34458768367767334, 'seed': 1}
{'time': '02/16/2023 18:03:32', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.455462098121643, 'accuracy': 0.32967033982276917, 'precision': 0.32967033982276917, 'recall': 0.32967033982276917, 'auc': 0.5274725556373596, 'prc': 0.3421647548675537, 'seed': 1}
{'time': '02/16/2023 18:10:40', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.4217076301574707, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5222222208976746, 'prc': 0.3412638306617737, 'seed': 1}
{'time': '02/16/2023 18:19:05', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.498900055885315, 'accuracy': 0.32967033982276917, 'precision': 0.32967033982276917, 'recall': 0.32967033982276917, 'auc': 0.5604395270347595, 'prc': 0.35473787784576416, 'seed': 1}
{'time': '02/16/2023 18:25:13', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.5597741603851318, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5277777910232544, 'prc': 0.34330230951309204, 'seed': 1}
{'time': '02/16/2023 18:31:11', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.6869029998779297, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5128205418586731, 'prc': 0.3378649950027466, 'seed': 1}
{'time': '02/16/2023 18:36:19', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.6352249383926392, 'accuracy': 0.32894736528396606, 'precision': 0.32894736528396606, 'recall': 0.32894736528396606, 'auc': 0.5328947305679321, 'prc': 0.3439791202545166, 'seed': 1}
{'time': '02/16/2023 18:45:09', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.744782567024231, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5098039507865906, 'prc': 0.3367880582809448, 'seed': 1}
{'time': '02/16/2023 18:52:56', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.7043744325637817, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5200000405311584, 'prc': 0.34045469760894775, 'seed': 1}
{'time': '02/16/2023 18:55:46', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0852288007736206, 'accuracy': 0.4204545319080353, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5738636255264282, 'prc': 0.3895723819732666, 'seed': 2}
{'time': '02/16/2023 18:57:50', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.112610936164856, 'accuracy': 0.3294117748737335, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5470588207244873, 'prc': 0.3494691252708435, 'seed': 2}
{'time': '02/16/2023 19:00:08', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1807953119277954, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.549382746219635, 'prc': 0.35144197940826416, 'seed': 2}
{'time': '02/16/2023 19:02:44', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.2844727039337158, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.526263952255249, 'prc': 0.34263038635253906, 'seed': 2}
{'time': '02/16/2023 19:08:24', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.314536452293396, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.526881754398346, 'prc': 0.3429720401763916, 'seed': 2}
{'time': '02/16/2023 19:14:14', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.3843141794204712, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.5121951103210449, 'prc': 0.3364921510219574, 'seed': 2}
{'time': '02/16/2023 19:17:36', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4054466485977173, 'accuracy': 0.3295454680919647, 'precision': 0.3295454680919647, 'recall': 0.3295454680919647, 'auc': 0.5568181872367859, 'prc': 0.35328438878059387, 'seed': 2}
{'time': '02/16/2023 19:25:40', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.502204179763794, 'accuracy': 0.3291139304637909, 'precision': 0.3291139304637909, 'recall': 0.3291139304637909, 'auc': 0.5, 'prc': 0.3321306109428406, 'seed': 2}
{'time': '02/16/2023 19:32:21', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.4991971254348755, 'accuracy': 0.3297872245311737, 'precision': 0.3297872245311737, 'recall': 0.3297872245311737, 'auc': 0.5053191184997559, 'prc': 0.33419057726860046, 'seed': 2}
{'time': '02/16/2023 19:43:00', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.5080766677856445, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.515625, 'prc': 0.33887216448783875, 'seed': 2}
{'time': '02/16/2023 19:50:04', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.4967626333236694, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5172414183616638, 'prc': 0.339455246925354, 'seed': 2}
{'time': '02/16/2023 19:58:34', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.6569576263427734, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.524509847164154, 'prc': 0.34210050106048584, 'seed': 2}
{'time': '02/16/2023 20:11:14', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.5311580896377563, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5376344323158264, 'prc': 0.34697389602661133, 'seed': 2}
{'time': '02/16/2023 20:31:00', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.541422724723816, 'accuracy': 0.3287671208381653, 'precision': 0.3287671208381653, 'recall': 0.3287671208381653, 'auc': 0.5479452013969421, 'prc': 0.34963375329971313, 'seed': 2}
{'time': '02/16/2023 20:33:42', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.082637071609497, 'accuracy': 0.4117647111415863, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5764706134796143, 'prc': 0.3873136639595032, 'seed': 3}
{'time': '02/16/2023 20:36:34', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1305010318756104, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5192307829856873, 'prc': 0.34017547965049744, 'seed': 3}
{'time': '02/16/2023 20:39:27', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.2065016031265259, 'accuracy': 0.3295454680919647, 'precision': 0.3295454680919647, 'recall': 0.3295454680919647, 'auc': 0.5160769820213318, 'prc': 0.337033212184906, 'seed': 3}
{'time': '02/16/2023 20:41:47', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.2694545984268188, 'accuracy': 0.3298968970775604, 'precision': 0.3298968970775604, 'recall': 0.3298968970775604, 'auc': 0.5206185579299927, 'prc': 0.3397127389907837, 'seed': 3}
{'time': '02/16/2023 20:45:50', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.2923851013183594, 'accuracy': 0.3298968970775604, 'precision': 0.3298968970775604, 'recall': 0.3298968970775604, 'auc': 0.5412371158599854, 'prc': 0.34738099575042725, 'seed': 3}
{'time': '02/16/2023 20:51:40', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.3600536584854126, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4947916567325592, 'prc': 0.3315263092517853, 'seed': 3}
{'time': '02/16/2023 20:54:39', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4087975025177002, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5222222208976746, 'prc': 0.3412638306617737, 'seed': 3}
{'time': '02/16/2023 20:59:03', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.4611811637878418, 'accuracy': 0.3298968970775604, 'precision': 0.3298968970775604, 'recall': 0.3298968970775604, 'auc': 0.5, 'prc': 0.3323521316051483, 'seed': 3}
{'time': '02/16/2023 21:03:43', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.505403995513916, 'accuracy': 0.3297872245311737, 'precision': 0.3297872245311737, 'recall': 0.3297872245311737, 'auc': 0.5053191184997559, 'prc': 0.33419057726860046, 'seed': 3}
{'time': '02/16/2023 21:09:40', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.57387113571167, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5402299165725708, 'prc': 0.3479524254798889, 'seed': 3}
{'time': '02/16/2023 21:19:44', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.5770611763000488, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5246914029121399, 'prc': 0.34216707944869995, 'seed': 3}
{'time': '02/16/2023 21:25:37', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.6989742517471313, 'accuracy': 0.32894736528396606, 'precision': 0.32894736528396606, 'recall': 0.32894736528396606, 'auc': 0.49099722504615784, 'prc': 0.3262816071510315, 'seed': 3}
{'time': '02/16/2023 21:32:54', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.5927278995513916, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.5121951103210449, 'prc': 0.3364921510219574, 'seed': 3}
{'time': '02/16/2023 21:46:36', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.7413240671157837, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4852941334247589, 'prc': 0.3282817006111145, 'seed': 3}
{'time': '02/16/2023 21:50:19', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0644378662109375, 'accuracy': 0.46590909361839294, 'precision': 0.0, 'recall': 0.0, 'auc': 0.6586389541625977, 'prc': 0.4738360047340393, 'seed': 4}
{'time': '02/16/2023 21:52:35', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1300266981124878, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5119047164916992, 'prc': 0.33130282163619995, 'seed': 4}
{'time': '02/16/2023 21:55:14', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1924692392349243, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.49390244483947754, 'prc': 0.3300555944442749, 'seed': 4}
{'time': '02/16/2023 21:58:42', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.2117812633514404, 'accuracy': 0.3291139304637909, 'precision': 0.3291139304637909, 'recall': 0.3291139304637909, 'auc': 0.5379747152328491, 'prc': 0.3459317088127136, 'seed': 4}
{'time': '02/16/2023 22:02:17', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.3029476404190063, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5252525210380554, 'prc': 0.34237295389175415, 'seed': 4}
{'time': '02/16/2023 22:05:59', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.3338459730148315, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5533333420753479, 'prc': 0.35296690464019775, 'seed': 4}
{'time': '02/16/2023 22:13:01', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4622653722763062, 'accuracy': 0.32967033982276917, 'precision': 0.32967033982276917, 'recall': 0.32967033982276917, 'auc': 0.5054945349693298, 'prc': 0.3342195749282837, 'seed': 4}
{'time': '02/16/2023 22:19:24', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.4843497276306152, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333432674408, 'seed': 4}
{'time': '02/16/2023 22:24:43', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.6150760650634766, 'accuracy': 0.3285714387893677, 'precision': 0.3285714387893677, 'recall': 0.3285714387893677, 'auc': 0.4928061366081238, 'prc': 0.3294289708137512, 'seed': 4}
{'time': '02/16/2023 22:30:43', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.5472739934921265, 'accuracy': 0.32894736528396606, 'precision': 0.32894736528396606, 'recall': 0.32894736528396606, 'auc': 0.5328947305679321, 'prc': 0.3439791202545166, 'seed': 4}
{'time': '02/16/2023 22:35:41', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.6483063697814941, 'accuracy': 0.32967033982276917, 'precision': 0.32967033982276917, 'recall': 0.32967033982276917, 'auc': 0.5164834856987, 'prc': 0.33814847469329834, 'seed': 4}
{'time': '02/16/2023 22:44:48', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.6392582654953003, 'accuracy': 0.3298968970775604, 'precision': 0.3298968970775604, 'recall': 0.3298968970775604, 'auc': 0.5257731676101685, 'prc': 0.3416009545326233, 'seed': 4}
{'time': '02/16/2023 23:05:34', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.6424586772918701, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.5365853905677795, 'prc': 0.34545087814331055, 'seed': 4}
{'time': '02/16/2023 23:13:13', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.7080944776535034, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5075757503509521, 'prc': 0.3359967768192291, 'seed': 4}
{'time': '02/16/2023 23:16:22', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.093629240989685, 'accuracy': 0.3764705955982208, 'precision': 0.0, 'recall': 0.0, 'auc': 0.541176438331604, 'prc': 0.3615223169326782, 'seed': 5}
{'time': '02/16/2023 23:19:08', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1372860670089722, 'accuracy': 0.32926830649375916, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5060975551605225, 'prc': 0.33431971073150635, 'seed': 5}
{'time': '02/16/2023 23:22:55', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1828428506851196, 'accuracy': 0.32967033982276917, 'precision': 0.32967033982276917, 'recall': 0.32967033982276917, 'auc': 0.5549450516700745, 'prc': 0.3525877594947815, 'seed': 5}
{'time': '02/16/2023 23:26:34', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.235144019126892, 'accuracy': 0.3297872245311737, 'precision': 0.3297872245311737, 'recall': 0.3297872245311737, 'auc': 0.563829779624939, 'prc': 0.35610702633857727, 'seed': 5}
{'time': '02/16/2023 23:29:43', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.3346824645996094, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5297619104385376, 'prc': 0.3440357446670532, 'seed': 5}
{'time': '02/16/2023 23:36:17', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.3856079578399658, 'accuracy': 0.3287671208381653, 'precision': 0.3287671208381653, 'recall': 0.3287671208381653, 'auc': 0.5068493485450745, 'prc': 0.3344453275203705, 'seed': 5}
{'time': '02/16/2023 23:39:58', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.470823049545288, 'accuracy': 0.3306451737880707, 'precision': 0.3306451737880707, 'recall': 0.3306451737880707, 'auc': 0.528225839138031, 'prc': 0.34271425008773804, 'seed': 5}
{'time': '02/16/2023 23:44:18', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.5175461769104004, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5476190447807312, 'prc': 0.3507648706436157, 'seed': 5}
{'time': '02/16/2023 23:52:51', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.4663256406784058, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5654762387275696, 'prc': 0.35772472620010376, 'seed': 5}
{'time': '02/17/2023 00:00:10', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.4778151512145996, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5638129711151123, 'prc': 0.3569905459880829, 'seed': 5}
{'time': '02/17/2023 00:09:16', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.6589528322219849, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.542682945728302, 'prc': 0.34775781631469727, 'seed': 5}
{'time': '02/17/2023 00:14:30', 'total_params': 2380675, 'ratio': 12.0, 'loss': 1.480167031288147, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5114942789077759, 'prc': 0.3373906910419464, 'seed': 5}
{'time': '02/17/2023 00:22:11', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.7358568906784058, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5147058963775635, 'prc': 0.3385414779186249, 'seed': 5}
{'time': '02/17/2023 00:31:43', 'total_params': 2380675, 'ratio': 14.0, 'loss': 1.722602128982544, 'accuracy': 0.3300970792770386, 'precision': 0.3300970792770386, 'recall': 0.3300970792770386, 'auc': 0.5582523941993713, 'prc': 0.3539952337741852, 'seed': 5}
