epitope	gene	freq	SE
GenBank	IGHV3-30__IGLV3-10	0.0011	0.0003
GenBank	IGHV3-30__IGLV3-19	0.0009	0.0003
GenBank	IGHV3-33__IGKV1-5	0.0017	0.0004
GenBank	IGHV3-33__IGKV3-11	0.0014	0.0003
GenBank	IGHV3-33__IGKV3-15	0.0027	0.0005
GenBank	IGHV3-33__IGKV3-20	0.0022	0.0004
GenBank	IGHV3-33__IGLV1-40	0.0006	0.0002
GenBank	IGHV3-33__IGLV1-44	0.0007	0.0002
GenBank	IGHV3-33__IGLV1-47	0.0002	0.0001
GenBank	IGHV3-33__IGLV3-1	0.0009	0.0003
GenBank	IGHV3-33__IGLV3-21	0.0009	0.0003
GenBank	IGHV3-43__IGKV1D-16	0.0001	0.0001
GenBank	IGHV3-48__IGKV1-33	0.0003	0.0002
GenBank	IGHV3-48__IGKV1-39	0.0022	0.0004
GenBank	IGHV3-48__IGKV1-5	0.0013	0.0003
GenBank	IGHV3-48__IGKV1D-13	0.0001	0.0001
GenBank	IGHV3-48__IGKV3-11	0.0014	0.0003
GenBank	IGHV3-48__IGKV3-15	0.0029	0.0005
GenBank	IGHV3-48__IGLV1-40	0.0009	0.0003
GenBank	IGHV3-49__IGKV1-17	0.0001	0.0001
GenBank	IGHV3-49__IGKV3-20	0.0004	0.0002
GenBank	IGHV3-49__IGLV3-1	0.0002	0.0001
GenBank	IGHV3-49__IGLV3-9	0.0001	0.0001
GenBank	IGHV3-53__IGKV3-11	0.0006	0.0002
GenBank	IGHV3-53__IGKV3-15	0.0014	0.0003
GenBank	IGHV3-53__IGKV4-1	0.0007	0.0002
GenBank	IGHV3-53__IGLV2-14	0.0009	0.0003
GenBank	IGHV3-53__IGLV2-8	0.0006	0.0002
GenBank	IGHV3-53__IGLV3-1	0.0003	0.0002
GenBank	IGHV3-64D__IGKV1-17	0.0001	0.0001
GenBank	IGHV3-64D__IGKV3-15	0.0014	0.0003
GenBank	IGHV3-66__IGKV4-1	0.0002	0.0001
GenBank	IGHV3-66__IGLV2-14	0.0002	0.0001
GenBank	IGHV3-74__IGLV1-40	0.0004	0.0002
GenBank	IGHV3-74__IGLV3-25	0.0006	0.0002
GenBank	IGHV3-7__IGKV1-39	0.0026	0.0005
GenBank	IGHV3-7__IGKV1-5	0.0024	0.0004
GenBank	IGHV3-7__IGKV2-28	0.0007	0.0002
GenBank	IGHV3-7__IGKV3-20	0.0011	0.0003
GenBank	IGHV3-7__IGLV1-40	0.001	0.0003
GenBank	IGHV3-7__IGLV1-51	0.0011	0.0003
GenBank	IGHV3-7__IGLV2-11	0.0007	0.0002
GenBank	IGHV3-7__IGLV3-21	0.0008	0.0003
GenBank	IGHV3-9__IGKV1-13	0.0002	0.0001
GenBank	IGHV3-9__IGKV1-33	0.001	0.0003
GenBank	IGHV3-9__IGKV1-39	0.0031	0.0005
GenBank	IGHV3-9__IGKV1-5	0.0008	0.0003
GenBank	IGHV3-9__IGKV1-9	0.0003	0.0002
GenBank	IGHV3-9__IGKV1-NL1	0.0001	0.0001
GenBank	IGHV3-9__IGKV3-11	0.0013	0.0003
GenBank	IGHV3-9__IGKV3-15	0.0013	0.0003
GenBank	IGHV3-9__IGKV3-20	0.0013	0.0003
GenBank	IGHV3-9__IGLV2-14	0.0006	0.0002
GenBank	IGHV4-30-2__IGKV1-33	0.0001	0.0001
GenBank	IGHV4-30-4__IGKV1-39	0.0027	0.0005
GenBank	IGHV4-30-4__IGLV1-40	0.0005	0.0002
GenBank	IGHV4-30-4__IGLV1-44	0.0001	0.0001
GenBank	IGHV4-30-4__IGLV3-21	0.0002	0.0001
GenBank	IGHV4-31__IGKV1-27	0.0002	0.0001
GenBank	IGHV4-31__IGKV1-33	0.0005	0.0002
GenBank	IGHV4-31__IGKV1-39	0.003	0.0005
GenBank	IGHV4-31__IGKV3-15	0.0005	0.0002
GenBank	IGHV4-31__IGKV4-1	0.0009	0.0003
GenBank	IGHV4-31__IGLV1-40	0.0004	0.0002
GenBank	IGHV4-31__IGLV1-51	0.0004	0.0002
GenBank	IGHV4-31__IGLV3-9	0.0002	0.0001
GenBank	IGHV4-34__IGKV1-39	0.0027	0.0005
GenBank	IGHV4-34__IGKV2-30	0.0008	0.0003
GenBank	IGHV4-34__IGKV3-20	0.0058	0.0007
GenBank	IGHV4-38-2__IGKV1-39	0.0002	0.0001
GenBank	IGHV4-38-2__IGKV1-5	0.0003	0.0002
GenBank	IGHV4-38-2__IGKV3-11	0.0003	0.0002
GenBank	IGHV4-38-2__IGKV3-20	0.0005	0.0002
GenBank	IGHV4-38-2__IGLV2-14	0.0003	0.0002
GenBank	IGHV4-38-2__IGLV3-21	0.0003	0.0002
GenBank	IGHV4-39__IGKV1-5	0.0032	0.0005
GenBank	IGHV4-39__IGKV1-9	0.0002	0.0001
GenBank	IGHV4-39__IGKV3-15	0.0041	0.0006
GenBank	IGHV4-39__IGKV3-20	0.0056	0.0007
GenBank	IGHV4-39__IGKV4-1	0.0017	0.0004
GenBank	IGHV4-39__IGLV1-40	0.0022	0.0004
GenBank	IGHV4-39__IGLV1-44	0.0009	0.0003
GenBank	IGHV4-39__IGLV1-47	0.002	0.0004
GenBank	IGHV4-39__IGLV1-51	0.0011	0.0003
GenBank	IGHV4-39__IGLV2-11	0.0014	0.0003
GenBank	IGHV4-39__IGLV2-14	0.0021	0.0004
GenBank	IGHV4-39__IGLV3-1	0.0014	0.0003
GenBank	IGHV4-39__IGLV4-69	0.0004	0.0002
GenBank	IGHV4-4__IGKV1-39	0.002	0.0004
GenBank	IGHV4-4__IGKV1-9	0.0003	0.0002
GenBank	IGHV4-4__IGLV1-40	0.0009	0.0003
GenBank	IGHV4-4__IGLV4-69	0	0
GenBank	IGHV4-59__IGKV1-17	0.0001	0.0001
GenBank	IGHV4-59__IGKV1-39	0.0078	0.0008
GenBank	IGHV4-59__IGKV1-5	0.0016	0.0004
GenBank	IGHV4-59__IGKV3-11	0.001	0.0003
GenBank	IGHV4-59__IGKV3-20	0.0034	0.0005
GenBank	IGHV4-59__IGLV1-40	0.0017	0.0004
GenBank	IGHV4-59__IGLV1-44	0.0012	0.0003
GenBank	IGHV4-59__IGLV2-11	0.0002	0.0001
GenBank	IGHV4-59__IGLV2-23	0.0008	0.0003
GenBank	IGHV4-59__IGLV3-1	0.0016	0.0004
GenBank	IGHV4-61__IGKV1-39	0.003	0.0005
GenBank	IGHV4-61__IGLV1-40	0.0007	0.0002
GenBank	IGHV4-61__IGLV1-44	0.0005	0.0002
GenBank	IGHV4-61__IGLV2-14	0.0008	0.0003
GenBank	IGHV5-10-1__IGKV2-28	0.0001	0.0001
GenBank	IGHV5-10-1__IGKV3-15	0.0003	0.0002
GenBank	IGHV5-10-1__IGKV3-20	0.0007	0.0002
GenBank	IGHV5-51__IGKV2-28	0.0003	0.0002
GenBank	IGHV5-51__IGKV3-15	0.001	0.0003
GenBank	IGHV5-51__IGLV1-40	0.001	0.0003
GenBank	IGHV6-1__IGKV1-5	0.0002	0.0001
GenBank	IGHV6-1__IGKV3-20	0.003	0.0005
GenBank	IGHV7-4-1__IGKV3-15	0.0001	0.0001
Head	IGHV1-18__IGKV1-17	0	0
Head	IGHV1-18__IGKV1-33	0.0046	0.0046
Head	IGHV1-18__IGKV1-39	0.0046	0.0046
Head	IGHV1-18__IGKV1-5	0.0046	0.0046
Head	IGHV1-18__IGKV2-24	0	0
Head	IGHV1-18__IGKV2-30	0	0
Head	IGHV1-18__IGKV3-11	0	0
Head	IGHV1-18__IGKV3-20	0.0046	0.0046
Head	IGHV1-18__IGLV6-57	0.0046	0.0046
Head	IGHV1-24__IGKV1-33	0.0046	0.0046
Head	IGHV1-24__IGKV2-28	0.0046	0.0046
Head	IGHV1-2__IGKV1-33	0.0046	0.0046
Head	IGHV1-2__IGKV3-11	0.0091	0.0064
Head	IGHV1-2__IGKV3-20	0	0
Head	IGHV1-2__IGKV4-1	0	0
Head	IGHV1-2__IGLV2-11	0	0
Head	IGHV1-2__IGLV2-14	0	0
Head	IGHV1-2__IGLV2-23	0	0
Head	IGHV1-2__IGLV2-8	0.0046	0.0046
Head	IGHV1-2__IGLV3-1	0.0046	0.0046
Head	IGHV1-2__IGLV3-21	0	0
Head	IGHV1-3__IGKV2-30	0	0
Head	IGHV1-3__IGKV4-1	0	0
Head	IGHV1-3__IGLV2-8	0	0
Head	IGHV1-46__IGKV1-5	0	0
Head	IGHV1-46__IGKV2-28	0.0046	0.0046
Head	IGHV1-46__IGKV4-1	0	0
Head	IGHV1-46__IGLV3-21	0.0046	0.0046
Head	IGHV1-69__IGKV1-12	0.0046	0.0046
Head	IGHV1-69__IGKV1-13	0	0
Head	IGHV1-69__IGKV1-16	0	0
Head	IGHV1-69__IGKV1-27	0	0
Head	IGHV1-69__IGKV1-33	0.0091	0.0064
Head	IGHV1-69__IGKV1-39	0	0
Head	IGHV1-69__IGKV1-5	0	0
Head	IGHV1-69__IGKV2-28	0.0046	0.0046
Head	IGHV1-69__IGKV2-30	0.0091	0.0064
Head	IGHV1-69__IGKV2-40	0	0
Head	IGHV1-69__IGKV2D-29	0	0
Head	IGHV1-69__IGKV3-11	0	0
Head	IGHV1-69__IGKV3-15	0.0091	0.0064
Head	IGHV1-69__IGKV3-20	0.0046	0.0046
Head	IGHV1-69__IGKV4-1	0	0
Head	IGHV1-69__IGLV1-40	0	0
Head	IGHV1-69__IGLV1-44	0.0046	0.0046
Head	IGHV1-69__IGLV1-47	0.0091	0.0064
Head	IGHV1-69__IGLV1-51	0	0
Head	IGHV1-69__IGLV10-54	0	0
Head	IGHV1-69__IGLV2-11	0	0
Head	IGHV1-69__IGLV2-14	0	0
Head	IGHV1-69__IGLV3-21	0	0
Head	IGHV1-69__IGLV4-69	0.0046	0.0046
Head	IGHV1-69__IGLV6-57	0.0046	0.0046
Head	IGHV1-8__IGKV3-15	0.0046	0.0046
Head	IGHV2-26__IGLV3-1	0.0046	0.0046
Head	IGHV2-26__IGLV3-21	0.0046	0.0046
Head	IGHV2-70__IGKV1-39	0.0046	0.0046
Head	IGHV2-70__IGLV1-36	0.0046	0.0046
Head	IGHV2-70__IGLV1-44	0.0046	0.0046
Head	IGHV2-70__IGLV3-21	0.0274	0.011
Head	IGHV2-70__IGLV3-9	0.032	0.0119
Head	IGHV3-11__IGKV1-12	0	0
Head	IGHV3-11__IGKV1-33	0.0091	0.0064
Head	IGHV3-11__IGKV1-39	0.0046	0.0046
Head	IGHV3-11__IGKV2-28	0.0046	0.0046
Head	IGHV3-11__IGKV3-20	0	0
Head	IGHV3-11__IGLV1-44	0.0046	0.0046
Head	IGHV3-11__IGLV1-51	0.0046	0.0046
Head	IGHV3-11__IGLV3-1	0.0046	0.0046
Head	IGHV3-11__IGLV6-57	0.0046	0.0046
Head	IGHV3-13__IGKV3-20	0.0046	0.0046
Head	IGHV3-13__IGLV3-1	0.0046	0.0046
Head	IGHV3-15__IGKV1-27	0.0046	0.0046
Head	IGHV3-15__IGKV1-33	0.0228	0.0101
Head	IGHV3-15__IGKV1-39	0.0046	0.0046
Head	IGHV3-15__IGKV2-28	0.0137	0.0079
Head	IGHV3-15__IGKV3-20	0.0046	0.0046
Head	IGHV3-15__IGKV4-1	0	0
Head	IGHV3-21__IGKV1-33	0.0091	0.0064
Head	IGHV3-21__IGKV1-39	0.0046	0.0046
Head	IGHV3-21__IGKV1-5	0	0
Head	IGHV3-21__IGKV2-28	0	0
Head	IGHV3-21__IGKV3-15	0	0
Head	IGHV3-21__IGKV3-20	0.0046	0.0046
Head	IGHV3-21__IGLV1-40	0.0046	0.0046
Head	IGHV3-21__IGLV1-44	0.0046	0.0046
Head	IGHV3-21__IGLV3-21	0.0046	0.0046
Head	IGHV3-21__IGLV4-69	0.0046	0.0046
Head	IGHV3-23__IGKV1-27	0	0
Head	IGHV3-23__IGKV1-33	0.0183	0.009
Head	IGHV3-23__IGKV1-39	0.0183	0.009
Head	IGHV3-23__IGKV1-5	0.0046	0.0046
Head	IGHV3-23__IGKV1-9	0	0
Head	IGHV3-23__IGKV1D-12	0	0
Head	IGHV3-23__IGKV2D-29	0	0
Head	IGHV3-23__IGKV3-11	0.0046	0.0046
Head	IGHV3-23__IGKV3-15	0.0137	0.0079
Head	IGHV3-23__IGKV3-20	0	0
Head	IGHV3-23__IGLV1-44	0.0046	0.0046
Head	IGHV3-23__IGLV1-47	0.0046	0.0046
Head	IGHV3-23__IGLV1-51	0.0091	0.0064
Head	IGHV3-23__IGLV3-21	0.0046	0.0046
Head	IGHV3-23__IGLV7-46	0.0046	0.0046
Head	IGHV3-30-3__IGKV1-16	0	0
Head	IGHV3-30-3__IGKV1-27	0	0
Head	IGHV3-30-3__IGKV3-11	0	0
Head	IGHV3-30-3__IGKV3-20	0	0
Head	IGHV3-30-3__IGLV3-1	0.0046	0.0046
Head	IGHV3-30__IGKV1-12	0	0
Head	IGHV3-30__IGKV1-17	0.0091	0.0064
Head	IGHV3-30__IGKV1-33	0.0091	0.0064
Head	IGHV3-30__IGKV1-5	0.0046	0.0046
Head	IGHV3-30__IGKV1D-16	0.0046	0.0046
Head	IGHV3-30__IGKV3-11	0	0
Head	IGHV3-30__IGKV3-15	0.0091	0.0064
Head	IGHV3-30__IGKV3-20	0	0
Head	IGHV3-30__IGKV4-1	0.0091	0.0064
Head	IGHV3-30__IGLV1-44	0.0091	0.0064
Head	IGHV3-30__IGLV2-14	0.0046	0.0046
Head	IGHV3-30__IGLV2-8	0.0091	0.0064
Head	IGHV3-30__IGLV3-10	0	0
Head	IGHV3-30__IGLV3-19	0	0
Head	IGHV3-33__IGKV1-5	0.0046	0.0046
Head	IGHV3-33__IGKV3-11	0.0046	0.0046
Head	IGHV3-33__IGKV3-15	0.0046	0.0046
Head	IGHV3-33__IGKV3-20	0.0046	0.0046
Head	IGHV3-33__IGLV1-40	0	0
Head	IGHV3-33__IGLV1-44	0.0046	0.0046
Head	IGHV3-33__IGLV1-47	0.0046	0.0046
Head	IGHV3-33__IGLV3-1	0.0046	0.0046
Head	IGHV3-33__IGLV3-21	0.0046	0.0046
Head	IGHV3-43__IGKV1D-16	0.0046	0.0046
Head	IGHV3-48__IGKV1-33	0.0046	0.0046
Head	IGHV3-48__IGKV1-39	0	0
Head	IGHV3-48__IGKV1-5	0.0046	0.0046
Head	IGHV3-48__IGKV1D-13	0.0046	0.0046
Head	IGHV3-48__IGKV3-11	0.0091	0.0064
Head	IGHV3-48__IGKV3-15	0	0
Head	IGHV3-48__IGLV1-40	0	0
Head	IGHV3-49__IGKV1-17	0.0046	0.0046
Head	IGHV3-49__IGKV3-20	0	0
Head	IGHV3-49__IGLV3-1	0.0046	0.0046
Head	IGHV3-49__IGLV3-9	0.0046	0.0046
Head	IGHV3-53__IGKV3-11	0	0
Head	IGHV3-53__IGKV3-15	0	0
Head	IGHV3-53__IGKV4-1	0.0046	0.0046
Head	IGHV3-53__IGLV2-14	0	0
Head	IGHV3-53__IGLV2-8	0	0
Head	IGHV3-53__IGLV3-1	0.0046	0.0046
Head	IGHV3-64D__IGKV1-17	0.0046	0.0046
Head	IGHV3-64D__IGKV3-15	0	0
Head	IGHV3-66__IGKV4-1	0.0046	0.0046
Head	IGHV3-66__IGLV2-14	0.0046	0.0046
Head	IGHV3-74__IGLV1-40	0.0046	0.0046
Head	IGHV3-74__IGLV3-25	0.0046	0.0046
Head	IGHV3-7__IGKV1-39	0.0046	0.0046
Head	IGHV3-7__IGKV1-5	0.0046	0.0046
Head	IGHV3-7__IGKV2-28	0.0046	0.0046
Head	IGHV3-7__IGKV3-20	0.0046	0.0046
Head	IGHV3-7__IGLV1-40	0.0091	0.0064
Head	IGHV3-7__IGLV1-51	0.0046	0.0046
Head	IGHV3-7__IGLV2-11	0.0046	0.0046
Head	IGHV3-7__IGLV3-21	0.0046	0.0046
Head	IGHV3-9__IGKV1-13	0	0
Head	IGHV3-9__IGKV1-33	0.0091	0.0064
Head	IGHV3-9__IGKV1-39	0.0046	0.0046
Head	IGHV3-9__IGKV1-5	0.0046	0.0046
Head	IGHV3-9__IGKV1-9	0.0046	0.0046
Head	IGHV3-9__IGKV1-NL1	0.0046	0.0046
Head	IGHV3-9__IGKV3-11	0.0091	0.0064
Head	IGHV3-9__IGKV3-15	0	0
Head	IGHV3-9__IGKV3-20	0.0046	0.0046
Head	IGHV3-9__IGLV2-14	0.0091	0.0064
Head	IGHV4-30-2__IGKV1-33	0.0046	0.0046
Head	IGHV4-30-4__IGKV1-39	0.0046	0.0046
Head	IGHV4-30-4__IGLV1-40	0.0046	0.0046
Head	IGHV4-30-4__IGLV1-44	0.0046	0.0046
Head	IGHV4-30-4__IGLV3-21	0	0
Head	IGHV4-31__IGKV1-27	0.0046	0.0046
Head	IGHV4-31__IGKV1-33	0.0046	0.0046
Head	IGHV4-31__IGKV1-39	0	0
Head	IGHV4-31__IGKV3-15	0	0
Head	IGHV4-31__IGKV4-1	0.0046	0.0046
Head	IGHV4-31__IGLV1-40	0	0
Head	IGHV4-31__IGLV1-51	0.0046	0.0046
Head	IGHV4-31__IGLV3-9	0.0046	0.0046
Head	IGHV4-34__IGKV1-39	0.0046	0.0046
Head	IGHV4-34__IGKV2-30	0	0
Head	IGHV4-34__IGKV3-20	0.0046	0.0046
Head	IGHV4-38-2__IGKV1-39	0.0046	0.0046
Head	IGHV4-38-2__IGKV1-5	0	0
Head	IGHV4-38-2__IGKV3-11	0	0
Head	IGHV4-38-2__IGKV3-20	0	0
Head	IGHV4-38-2__IGLV2-14	0.0046	0.0046
Head	IGHV4-38-2__IGLV3-21	0.0046	0.0046
Head	IGHV4-39__IGKV1-5	0	0
Head	IGHV4-39__IGKV1-9	0.0046	0.0046
Head	IGHV4-39__IGKV3-15	0.0091	0.0064
Head	IGHV4-39__IGKV3-20	0	0
Head	IGHV4-39__IGKV4-1	0.0046	0.0046
Head	IGHV4-39__IGLV1-40	0.0091	0.0064
Head	IGHV4-39__IGLV1-44	0.0137	0.0079
Head	IGHV4-39__IGLV1-47	0.0137	0.0079
Head	IGHV4-39__IGLV1-51	0	0
Head	IGHV4-39__IGLV2-11	0.0046	0.0046
Head	IGHV4-39__IGLV2-14	0.0091	0.0064
Head	IGHV4-39__IGLV3-1	0.0046	0.0046
Head	IGHV4-39__IGLV4-69	0.0046	0.0046
Head	IGHV4-4__IGKV1-39	0.0091	0.0064
Head	IGHV4-4__IGKV1-9	0.0046	0.0046
Head	IGHV4-4__IGLV1-40	0.0046	0.0046
Head	IGHV4-4__IGLV4-69	0.0046	0.0046
Head	IGHV4-59__IGKV1-17	0.0046	0.0046
Head	IGHV4-59__IGKV1-39	0.0228	0.0101
Head	IGHV4-59__IGKV1-5	0.0091	0.0064
Head	IGHV4-59__IGKV3-11	0.0046	0.0046
Head	IGHV4-59__IGKV3-20	0	0
Head	IGHV4-59__IGLV1-40	0.0046	0.0046
Head	IGHV4-59__IGLV1-44	0.0046	0.0046
Head	IGHV4-59__IGLV2-11	0	0
Head	IGHV4-59__IGLV2-23	0	0
Head	IGHV4-59__IGLV3-1	0.0046	0.0046
Head	IGHV4-61__IGKV1-39	0.0183	0.009
Head	IGHV4-61__IGLV1-40	0.0091	0.0064
Head	IGHV4-61__IGLV1-44	0.0046	0.0046
Head	IGHV4-61__IGLV2-14	0.0091	0.0064
Head	IGHV5-10-1__IGKV2-28	0.0046	0.0046
Head	IGHV5-10-1__IGKV3-15	0.0046	0.0046
Head	IGHV5-10-1__IGKV3-20	0.0046	0.0046
Head	IGHV5-51__IGKV2-28	0.0046	0.0046
Head	IGHV5-51__IGKV3-15	0.0046	0.0046
Head	IGHV5-51__IGLV1-40	0.0091	0.0064
Head	IGHV6-1__IGKV1-5	0	0
Head	IGHV6-1__IGKV3-20	0	0
Head	IGHV7-4-1__IGKV3-15	0	0
Stem	IGHV1-18__IGKV1-17	0.0102	0.0072
Stem	IGHV1-18__IGKV1-33	0	0
Stem	IGHV1-18__IGKV1-39	0	0
Stem	IGHV1-18__IGKV1-5	0.0051	0.0051
Stem	IGHV1-18__IGKV2-24	0.0051	0.0051
Stem	IGHV1-18__IGKV2-30	0.0306	0.0123
Stem	IGHV1-18__IGKV3-11	0.0102	0.0072
Stem	IGHV1-18__IGKV3-20	0.0459	0.015
Stem	IGHV1-18__IGLV6-57	0	0
Stem	IGHV1-24__IGKV1-33	0	0
