Name,binding
H1N1_294-16-IgG-1F05_,head
57.0|1974_donor,head
108.0|PCWilson_donor_SFV019,head
96.0|PCWilson_donor_150055-015,head
88.0|PCWilson_H7N9_vaccinees,head
26.0|Harrison_donor_TIV01,head
120.0|Melbourne_donor_R95,head
SFV009_3F05,head
114.0|Melbourne_donor_K77,head
110.0|Melbourne_donor_K77,head
16.0|Melbourne_donor_K77,head
9F2,others
K1B12,others
10I,others
7F,others
JMpFv2-40,others
JA1.9,others
TR1.10,others
TR1.3,others
TR1.6,others
TR1.8,others
TR1.9,others
WR4.10,others
WR4.25,others
WR4.32,others
WR4.35,others
8155258_D5,others
RT79,others
0-16,others
SpA2-08,others
SpA3-02,others
SpA3-08,others
BL29,others
BL36,others
BL41,others
C6PM10,others
C6PM11,others
C6PM12,others
C6PM13,others
C6PM2,others
C6PM3,others
C6PM4,others
C6PM5,others
C6PM6,others
C6PM7,others
C6PM8,others
C6PM9,others
Tgk1,others
Tgk4,others
Tgk5,others
Tgl10,others
Tgl9,others
STMAG,others
AD4-18,others
AD4-37,others
EW1,others
EW3,others
EW4,others
126A,others
126C,others
126D,others
126F,others
126G,others
126H,others
126TO1,others
126TO10,others
126TO15,others
126TO2,others
126TO6,others
126TO8,others
126TO9,others
126TP13,others
126TP15,others
126TP5,others
126TP6,others
126TP7,others
126TP8,others
126TP9,others
B1F8B5,others
B2E9D5,others
FD2,others
MC56,others
MC57,others
MCA1,others
MCB11,others
S12G10,others
S2E4,others
Z5scFv3,others
Z5scFv7,others
pComb3-GG-ia30,others
pComb3-GG-ib02,others
pComb3-GG-ib29,others
pComb3-LO-ie02,others
pComb3-LO-ie06,others
pComb3-LO-ie10,others
pComb3-LO-ie19,others
pComb3-LO-ie21,others
pComb3-LO-ie31,others
pComb3-LO-ie39,others
pComb3-LO-ie46,others
pComb3-LO-or05,others
pComb3-LO-or19,others
pComb3-LO-or26,others
pComb3-LO-or60,others
pComb3-LO-or84,others
pComb3-NK-ib02,others
pComb3-NK-ib07,others
pComb3-NK-ib22,others
9887257_D11,others
9887257_D4,others
9887257_D5,others
9887257_D6,others
9887257_D9,others
D1,others
D10,others
D102,others
D103,others
D104,others
D105,others
D107,others
D108,others
D110,others
D115,others
D117,others
D119,others
D123,others
D126,others
D13,others
D14,others
D19,others
D20,others
D21,others
D23,others
D28,others
D3,others
D31,others
D34,others
D36,others
D37,others
D38,others
D41,others
D47,others
D52,others
D54,others
D56,others
D57,others
D60,others
D62,others
D63,others
D65,others
D67,others
D68,others
D7,others
D72,others
D78,others
D79,others
D85,others
D87,others
D90,others
D94,others
CHOI11,others
CHOI3,others
CHOI8,others
B220,others
E244,others
17,others
27,others
53,others
60,others
85,others
ICA1,others
ICA5,others
ICB7,others
3PB2,others
3PC4,others
3PF12,others
VK34,others
VK41,others
MD01,others
MD02,others
MD04,others
MD05,others
MD06,others
MD07,others
MD08,others
MD09,others
MD10,others
MD11,others
1_11,others
1_5,others
1_7,others
10993933_A12,others
10993933_A8,others
10993933_L3,others
L1,others
shi08,others
shi21,others
shi44,others
shi51,others
shi55,others
shi58,others
shi89,others
KM33,others
KM35,others
KM36,others
KM37,others
KM38,others
KM41,others
14.1,others
14.2,others
14.3,others
14.4,others
23F.1,others
23F.2,others
6B.1,others
M1-11,others
M1-22,others
M1-28,others
M1-40,others
M1-45,others
M1-57,others
M1-6,others
M1-74,others
M1-77,others
M1u-04,others
M1u-06,others
M1u-07,others
M1u-08,others
M1u-10,others
M2-24,others
M2-4,others
M2-45,others
M2u-01,others
M2u-04,others
M2u-05,others
M2u-06,others
M2u-07,others
M2u-10,others
T2.11,others
T2.2,others
T2.5,others
T2.6,others
T2.7,others
T3.10,others
T3.13,others
T3.15,others
T3.2,others
T3.3,others
T3.4,others
T3.5,others
T3.7,others
TF2.10,others
TF2.3,others
TF2.4,others
TF2.6,others
TF3.12,others
TF3.14,others
TF3.19,others
11606439_A10,others
11606439_A12,others
11606439_A2,others
11606439_A4,others
11606439_A6,others
11606439_A7,others
11606439_A8,others
11606439_B1,others
11606439_B10,others
11606439_B11,others
11606439_B2,others
11606439_B4,others
11606439_B5,others
11606439_B6,others
A1,others
A17,others
A3,others
A5,others
A9,others
B3,others
B7,others
B9,others
T1,others
T10,others
T11,others
T12,others
T13,others
T2,others
T3,others
T4,others
T5,others
T6,others
T7,others
T9,others
LTMalpha-15,others
LTMalpha-35,others
EBA11,others
EBB10,others
EBB3,others
EBE12,others
EBG10,others
TEA9,others
TEB7,others
TEF2,others
TEG4,others
TEH11,others
11849233_E3,others
B12,others
HuF133,others
HuF15,others
HuF86,others
HuTA73,others
WR1,others
WR10,others
WR11,others
WR15,others
WR16,others
WR17,others
WR3,others
WR8,others
WR9,others
002.3B11,others
002.7F3,others
002.8E11,others
008.1F9,others
008.2E7,others
008.2F7,others
008.3A2,others
008.3C12,others
008.3D7,others
008.4A3,others
008.4B12,others
008.4B7,others
008.4D1,others
014.2B6,others
014.7A2,others
018.6G5,others
023.102,others
023.115,others
023.125,others
025.1C6,others
025.1H10,others
025.4E12,others
025.5D3,others
025.7A6,others
025.7F5,others
027.064,others
027.242,others
027.304,others
027.343,others
CL1,others
CL24,others
IS3,others
IS4,others
12663449_A10,others
12663449_C5,others
12663449_D2,others
12663449_E7,others
12663449_E9,others
C6,others
CP33,others
HA1,others
HA12,others
HA6,others
HA9,others
12E,others
26H,others
27D,others
80R,others
8C,others
91M,others
92N,others
001.5A1,others
002.1F2,others
002.2H9,others
002.4B4,others
002.4E6,others
002.7B11,others
003.10G4,others
003.13H10,others
003.1H8,others
003.4C5,others
003.4D7,others
003.5H11,others
003.6A1,others
003.6A2,others
003.6B2,others
003.6F2,others
003.7D8,others
010.1D10,others
010.1D8,others
010.2C3,others
010.2C6,others
010.4B4,others
010.5B4,others
010.5C11,others
010.7H1,others
010.7H3,others
010.8D9,others
011.10E1,others
011.13A3,others
011.13A9,others
011.14A5,others
011.14E1,others
011.14F9,others
011.15H3,others
011.16A4,others
011.17F5,others
011.18B6,others
011.19D9,others
011.19E4,others
011.20H1,others
011.21E2,others
011.4H1,others
011.5D11,others
011.5E1,others
011.7B1,others
011.7B8,others
011.7E2,others
023.13A11,others
023.15A5,others
023.18C11,others
023.19E3,others
023.20H2,others
023.4C8,others
G14F7E5,others
G15B4G5,others
G19B9G7,others
332,others
03-001,others
03-006,others
03-015,others
13,others
14,others
15706403_12H,others
16,others
RVI-15,others
RVI-23,others
RVI-24,others
RVI-27,others
RVI-30,others
RVI-31,others
RVI-33,others
RVI-34,others
RVI-4,others
RVI-40,others
RVI-5,others
RVI-6,others
2B4,others
8F9,others
FA9,others
HH12,others
KE5,others
QG1,others
SE12,others
UF12,others
M11,others
M14,others
M15,others
M21,others
M22,others
M23,others
M4,others
M5,others
M6,others
M8,others
M9,others
303-15,others
308-09,others
308-19,others
SC4006,others
SC4007,others
SC4008,others
SC4009,others
SC4010,others
SC4011,others
SC4012,others
SC4013,others
SC4014,others
SC4015,others
SC4017,others
SC4018,others
SC4019,others
SC4020,others
SC4021,others
SC4022,others
SC4023,others
SC4024,others
SC4025,others
SC4026,others
SC4027,others
SC4028,others
SC4029,others
SC4031,others
SC4032,others
SC4033,others
SC4034,others
SC4036,others
SC4037,others
SC4038,others
SC4039,others
SC4040,others
SC4041,others
SC4042,others
SC4044,others
SC4045,others
SC4046,others
SC4047,others
SC4048,others
SC4049,others
SC4050,others
SC4051,others
SC4052,others
SC4053,others
SC4054,others
SC4055,others
SC4056,others
SC4057,others
SC4058,others
SC4059,others
SC4060,others
SC4061,others
SC4062,others
SC4063,others
SC4064,others
SC4065,others
SC4066,others
SC4067,others
SC4068,others
SC4069,others
SC4070,others
SC4072,others
SC4073,others
SC4074,others
SC4076,others
SC4077,others
SC4078,others
SC4079,others
SC4080,others
SC4082,others
SC4083,others
SC4084,others
SC4085,others
SC4086,others
SC4087,others
SC4088,others
SC4089,others
SC4090,others
SC4091,others
SC4092,others
SC4093,others
SC4094,others
SC4095,others
SC4096,others
SC4097,others
SC4098,others
SC4099,others
SC4100,others
SC4101,others
SC4102,others
SC4103,others
SC4104,others
SC4105,others
SC4106,others
SC4107,others
SC4108,others
SC4109,others
SC4110,others
SC4111,others
SC4112,others
SC4113,others
SC4114,others
SC4115,others
SC4116,others
SC4117,others
SC4118,others
SC4119,others
SC4120,others
SC4121,others
SC4123,others
SC4124,others
SC4125,others
SC4126,others
SC4128,others
SC4129,others
SC4131,others
SC4132,others
SC4133,others
SC4134,others
SC4135,others
SC4136,others
SC4137,others
SC4138,others
SC4140,others
SC4141,others
SC4142,others
SC4144,others
SC4145,others
SC4146,others
SC4147,others
SC4148,others
SC4149,others
SC4150,others
SC4151,others
SC4152,others
SC4153,others
SC4154,others
SC4155,others
SC4156,others
SC4157,others
SC4158,others
SC4159,others
SC4160,others
SC4161,others
SC4162,others
SC4163,others
SC4164,others
16076869_N228,others
16076869_N229,others
16076869_N28,others
N1182,others
N1187,others
N1200,others
N1202,others
N1214,others
N1222,others
N1314,others
N1319,others
N1344,others
N1374,others
N1375,others
N1380,others
N1404,others
N1405,others
N1408,others
N1445,others
N1451,others
N1457,others
N1475,others
N1481,others
N1482,others
N1490,others
N1492,others
N1496,others
N1498,others
N1504,others
N1508,others
N1513,others
N1526,others
N1531,others
N1533,others
N1542,others
N1545,others
N1553,others
N1568,others
N1589,others
N1590,others
N1599,others
N1605,others
N1613,others
N1619,others
N1620,others
N1622,others
N1638,others
N1647,others
N1659,others
N1660,others
N1674,others
N1680,others
N1691,others
N1692,others
N1701,others
N1703,others
N1704,others
N1707,others
N1713,others
N1728,others
N1737,others
N1749,others
N1774,others
N1777,others
N1792,others
N1794,others
N1809,others
N1810,others
N1816,others
N1838,others
N1839,others
N1847,others
N1857,others
N1867,others
N1868,others
N1887,others
N1891,others
N1926,others
N1930,others
N1964,others
N2122,others
N2123,others
N2199,others
N2205,others
N2213,others
N2231,others
N2238,others
N2239,others
N225,others
N2272,others
N2277,others
N2303,others
N2307,others
N2325,others
N2344,others
N235,others
N2357,others
N236,others
N2396,others
N2430,others
N2448,others
N248,others
N249,others
N2527,others
N2542,others
N258,others
N259,others
N2617,others
N285,others
N290,others
N296,others
N314,others
N328,others
N362,others
N364,others
N469,others
N485,others
N487,others
N541,others
N563,others
N573,others
N598,others
N718,others
N723,others
N750,others
N950,others
N957,others
P1000,others
P103,others
P104,others
P1050,others
P1055,others
P106,others
P1060,others
P1082,others
P1094,others
P1097,others
P1114,others
P1132,others
P1142,others
P1156,others
P1157,others
P1165,others
P1169,others
P117,others
P1173,others
P1177,others
P1178,others
P1182,others
P1188,others
P1191,others
P1201,others
P121,others
P1215,others
P1229,others
P1289,others
P130,others
P1306,others
P131,others
P1321,others
P1337,others
P1346,others
P14,others
P1403,others
P1404,others
P141,others
P1422,others
P1430,others
P1456,others
P1484,others
P1504,others
P1522,others
P1529,others
P1531,others
P1532,others
P154,others
P1540,others
P1558,others
P1563,others
P1596,others
P1597,others
P160,others
P161,others
P1610,others
P1615,others
P1618,others
P1626,others
P1627,others
P1659,others
P1697,others
P1707,others
P173,others
P1812,others
P1823,others
P183,others
P1837,others
P184,others
P1854,others
P1870,others
P191,others
P1939,others
P194,others
P195,others
P196,others
P1971,others
P1986,others
P200,others
P202,others
P2033,others
P213,others
P2143,others
P215,others
P2184,others
P220,others
P225,others
P2251,others
P2255,others
P228,others
P229,others
P238,others
P2422,others
P248,others
P280,others
P283,others
P297,others
P307,others
P314,others
P323,others
P324,others
P325,others
P326,others
P333,others
P341,others
P343,others
P364,others
P373,others
P374,others
P380,others
P409,others
P416,others
P417,others
P427,others
P436,others
P437,others
P438,others
P439,others
P441,others
P450,others
P451,others
P452,others
P458,others
P459,others
P460,others
P506,others
P511,others
P512,others
P530,others
P532,others
P534,others
P545,others
P564,others
P571,others
P573,others
P585,others
P590,others
P608,others
P611,others
P624,others
P630,others
P650,others
P656,others
P66,others
P667,others
P668,others
P675,others
P680,others
P684,others
P689,others
P690,others
P71,others
P711,others
P717,others
P775,others
P781,others
P786,others
P788,others
P79,others
P795,others
P835,others
P84,others
P86,others
P860,others
P886,others
P896,others
P906,others
P907,others
P922,others
P948,others
P975,others
P995,others
PCLL4,others
PMM11,others
PMM22,others
CBMalpha8,others
G10,others
H9,others
BPG169,others
BPG256,others
BPG398,others
BPG48,others
BPG49,others
BPG79,others
IM3-1,others
IM5-1,others
IM5-3,others
IM5-4,others
IM5-5,others
015,others
AG11,others
B2,others
BB11,others
HAIM29,others
I9,others
K11,others
P16,others
A23,others
B36,others
C29,others
E39,others
H29,others
135a02,others
135a10,others
135c02,others
135c09,others
135f09,others
135f12,others
135g12,others
152a08,others
152b09,others
152b11,others
152c02,others
152d03,others
152d04,others
152e03,others
152e06,others
16563430_135a03,others
16563430_135a05,others
16563430_135a07,others
16563430_135b02,others
16563430_135b06,others
16563430_135b07,others
16563430_135b08,others
16563430_135b10,others
16563430_135b12,others
16563430_135c03,others
16563430_135c06,others
16563430_135c11,others
16563430_135d02,others
16563430_135d04,others
16563430_135d05,others
16563430_135d06,others
16563430_135d07,others
16563430_135d12,others
16563430_135e02,others
16563430_135e03,others
16563430_135e04,others
16563430_135e05,others
16563430_135e07,others
16563430_135e11,others
16563430_135e12,others
16563430_135f06,others
16563430_135f07,others
16563430_135f10,others
16563430_135f11,others
16563430_135g03,others
16563430_135g05,others
16563430_135g07,others
16563430_135g08,others
16563430_135g10,others
16563430_135g11,others
16563430_152a07,others
16563430_152a09,others
16563430_152b04,others
16563430_152b06,others
16563430_152b07,others
16563430_152c04,others
16563430_152c06,others
16563430_152c07,others
16563430_152c11,others
16563430_152d08,others
16563430_152d11,others
16563430_152e02,others
16563430_152e04,others
16563430_152e05,others
16563430_152e08,others
16563430_60a01,others
16563430_60a02,others
16563430_60a03,others
16563430_60a04,others
16563430_60A07,others
16563430_60a09,others
16563430_60a11,others
16563430_60b09,others
16563430_60c03,others
16563430_60c04,others
16563430_60c07,others
16563430_60c12,others
16563430_60d03,others
16563430_60d04,others
16563430_60d05,others
16563430_60d08,others
16563430_60e05,others
16563430_60f01,others
16563430_60f02,others
16563430_60f03,others
16563430_60f06,others
16563430_60f09,others
16563430_60f10,others
16563430_60g03,others
16563430_60g04,others
16563430_60g06,others
16563430_60g09,others
16563430_60g11,others
16563430_60h11,others
16563430_60h12,others
16563430_61a05,others
16563430_61c03,others
16563430_61c04,others
16563430_61c06,others
16563430_61d06,others
16563430_61e08,others
16563430_61e11,others
16563430_61e12,others
16563430_61f01,others
16563430_61G10,others
16563430_61h05,others
16563430_62a09,others
16563430_62b01,others
16563430_62b03,others
16563430_62b05,others
16563430_62B07,others
16563430_62c03,others
16563430_62c04,others
16563430_62c05,others
16563430_62d04,others
16563430_62d10,others
16563430_62d11,others
16563430_62d12,others
16563430_62e05,others
16563430_62e12,others
16563430_62F01,others
16563430_62f09,others
16563430_62F10,others
16563430_62g02,others
16563430_62G10,others
16563430_62G11,others
16563430_62h02,others
16563430_62h06,others
16563430_62H07,others
16563430_63a02,others
16563430_63a03,others
16563430_63a11,others
16563430_63a12,others
16563430_63b07,others
16563430_63b09,others
16563430_63c07,others
60b12,others
62a06,others
63a05,others
RAM2,others
RAM3,others
10,others
GK2,others
GK8,others
T14-1,others
T14-5,others
T14-7,others
T14-9,others
TCH-3,others
TCH-5,others
TCH-6,others
TCH-8,others
P2-114,others
P3-116,others
SC4271,others
SC4274,others
SC4283,others
SC4289,others
SC4299,others
SC4311,others
SC4325,others
SC4353,others
SC4361,others
SC4368,others
SC4374,others
SC4375,others
81,others
2-46,others
3-24,others
4-10,others
4-35,others
7-15,others
Pf143,others
Pf227,others
Pf25,others
1308_clone_B12,others
1308_clone_C11,others
1308_clone_C3,others
1308_clone_C4,others
1308_clone_D11,others
1308_clone_D5,others
1308_clone_D9,others
1308_clone_E3,others
1308_clone_H2,others
1308_clone_H7,others
1403_clone_A5,others
1403_clone_B1,others
1403_clone_D3,others
1403_clone_E1,others
1403_clone_E9,others
1403_clone_F2,others
1403_clone_G6,others
1403_clone_H12,others
1432_clone_B2,others
1432_clone_B4,others
1432_clone_C2,others
1432_clone_C3,others
1432_clone_C4,others
1432_clone_C8,others
1432_clone_D2,others
1432_clone_D6,others
1432_clone_D8,others
1432_clone_F1,others
2E11,others
2G8,others
773_clone_C10,others
773_clone_C11,others
773_clone_D10,others
773_clone_D7,others
773_clone_E3,others
773_clone_E7,others
773_clone_F5,others
773_clone_F8,others
773_clone_G1,others
773_clone_G7,others
D4A,others
D4B,others
G9,others
LDU_077_clone_F1,others
LDU_077_clone_G1,others
LDU_077_clone_G4,others
LDU_077_clone_G5,others
LDU_077_clone_G6,others
LDU_077_clone_H3,others
LDU_077_clone_H6,others
LDU_077_clone_H7,others
LDU_095_clone_B3,others
LDU_095_clone_C4,others
IF1A11,others
IF1E1,others
CLL861,others
XEhI-20,others
XEhI-28,others
XEhI-B5,others
XEhI-H2,others
CLL246,others
CLL255,others
CLL260,others
CLL366,others
CLL376,others
CLL415,others
CLL562,others
CLL657,others
CLL845,others
DO8,others
PG16,others
PG20,others
PG9,others
PGC14,others
PGG14,others
RSV1,others
RSV10,others
RSV103,others
RSV11,others
RSV112A,others
RSV113B,others
RSV12,others
RSV121,others
RSV128,others
RSV13,others
RSV134,others
RSV14,others
RSV150,others
RSV154,others
RSV157,others
RSV158,others
RSV159,others
RSV16,others
RSV162A,others
RSV165,others
RSV167,others
RSV168,others
RSV170,others
RSV172,others
RSV175,others
RSV18,others
RSV2,others
RSV208,others
RSV214,others
RSV218,others
RSV219,others
RSV225,others
RSV232,others
RSV237,others
RSV29A,others
RSV3,others
RSV32,others
RSV35,others
RSV4,others
RSV41,others
RSV44,others
RSV45,others
RSV5,others
RSV50,others
RSV54A,others
RSV6,others
RSV61,others
RSV64,others
RSV67,others
RSV7,others
RSV77,others
RSV79,others
RSV8,others
RSV82,others
RSV86,others
RSV88,others
RSV9,others
RSV90,others
RB109,others
RB156,others
S104,others
19965661_H10,others
19965661_H5,others
19965661_H9,others
H1,others
H15,others
H19,others
H7,others
20616233_VRC01,others
VRC03,others
20875420_A7,others
20875420_B11,others
20875420_B2,others
20875420_B4,others
20875420_B5,others
20875420_B6,others
20875420_C9,others
20875420_D11,others
20875420_D2,others
20875420_E7,others
20875420_H9,others
E5,others
F10,others
G4,others
Tox203,others
029,others
031,others
037,others
058,others
086,others
089,others
112,others
113,others
156,others
159,others
160,others
166,others
169,others
172,others
183,others
186,others
188,others
189,others
195,others
197,others
201,others
203,others
205,others
211,others
214,others
215,others
219,others
225,others
229,others
232,others
235,others
237,others
238,others
242,others
243,others
246,others
250,others
267,others
269,others
271,others
274,others
286,others
290,others
291,others
294,others
295,others
297,others
302,others
335,others
339,others
349,others
351,others
431,others
437,others
446,others
461,others
482,others
488,others
515,others
516,others
517,others
520,others
526,others
532,others
536,others
551,others
559,others
572,others
575,others
586,others
589,others
607,others
611,others
612,others
614,others
617,others
621,others
626,others
628,others
632,others
633,others
634,others
640,others
643,others
649,others
650,others
651,others
1000-1B02,others
1000-1C03,others
1000-1D05,others
1000-1E04,others
1000-2F06,others
1000-2G06,others
1000-3B04,others
1000-3B06,others
1000-3C05,others
1000-3E01,others
1000-3E04,others
1009-3A02,others
1009-3B06,others
1009-3C02,others
1009-3C06,others
1009-3D01,others
1009-3E04,others
1009-3E06,others
1009-3F01,others
1009-3G06,others
70-1C04,others
70-1D02,others
70-1F02,others
70-1F03,others
70-5B01,others
70-5B03,others
70-5C01,others
70-5C05,others
70-5D01,others
70-5E05,others
70-5F01,others
EM-2C04,others
EM-3C02,others
EM-3C04,others
EM-4C04,others
129,others
21725051_25,others
255,others
12A12,others
12A21,others
1B2530,others
1NC9,others
3BNC117,others
3BNC60,others
8ANC195,others
NIH45-46,others
CH01,others
CH02,others
CH03,others
CH04,others
21798894_FI370,others
21798894_FI442,others
FI6-370,others
FI6Vv1,others
VRC-CH30,others
VRC-CH31,others
VRC-CH32,others
VRC-CH33,others
VRC-CH34,others
VRC-PG04,others
VRC-PG04b,others
PGT121,others
PGT122,others
PGT123,others
PGT127,others
PGT128,others
PGT130,others
PGT135,others
PGT136,others
PGT137,others
PGT141,others
PGT142,others
PGT144,others
PGT145,others
1G2,others
2C2,others
SM1-6,others
SM12,others
SM3-1,others
SM4-5,others
SM5-1,others
SM6-5,others
F022-360,others
F026-146,others
F026-427,others
F045-092,others
m66,others
2O10,others
4A10,others
4K8,others
6D9,others
338a08,others
338a09d,others
338B03d,others
338b20,others
338c04,others
338c14,others
338c16,others
338c17,others
338d22,others
338e03,others
338e09,others
338e13,others
338e17,others
338e23,others
338f16,others
338f17,others
338g02,others
338g07,others
338g15,others
338h08,others
338H14,others
338i04,others
338j08,others
338l22,others
338m13,others
338n10,others
338n15d,others
338n16d,others
338n19,others
339b14d,others
339c08,others
339e03,others
339e15,others
339e20,others
339e22,others
339f08,others
339f20,others
339g04,others
339g07,others
339g10,others
339g23,others
339h04,others
339h20,others
339i11,others
339i18,others
339N19,others
339P14,others
340E02,others
340E04,others
340E07,others
340e09,others
340F15,others
340G19,others
340H21,others
340K21,others
340K22,others
340K24,others
340L23,others
340M15,others
340M22,others
340N16,others
340O09,others
340P06,others
341C24,others
344A09,others
344a11,others
344b03,others
344b12,others
344c07,others
344D09,others
344e03,others
344f03,others
344j19,others
344n21,others
344n22,others
344o11,others
345A03,others
345e22,others
345f05,others
345n06,others
345n11d,others
346c11,others
346o18,others
347a23,others
347c18,others
347g15,others
347g21,others
347m23,others
348b03,others
348h19,others
348p13,others
349m13,others
432J15,others
433e06,others
434A23,others
434M13,others
435B22,others
435E24,others
435F21,others
528A08,others
528B06,others
528B21,others
528C03,others
528D09,others
528D13,others
528D16,others
528D17,others
528E02,others
528E14,others
528F21,others
528F24,others
528G11,others
528G18,others
528H05,others
528H13,others
528i19,others
528i20,others
528i21,others
528J17,others
528K04,others
528K07,others
528K10,others
528L02,others
528L08,others
528L11,others
528L13,others
528M04,others
528M13,others
528M14,others
528M17d,others
528M22,others
528M23,others
528N19,others
528N20,others
528O08,others
528O19,others
528O21,others
528P07,others
528P17,others
528P18,others
528P19,others
528P21,others
529A10,others
529A13,others
529A18,others
529A20,others
529C08,others
529F05,others
529F15,others
529G04,others
